sha,author,date,message
41c5ad8214f638102b1db3b24ca43b05e0d521a3,en3rypt,2024-01-19 07:08:37+00:00,public
2c470aafdb7021014aec47d5e34d58f62ffb02a8,en3rypt,2024-01-19 06:59:17+00:00,path
80f514c363080708a9b78ec0e1f3509288a58cfe,en3rypt,2024-01-19 06:46:34+00:00,build
e9105a9f1c958abb08cb1a0d1620de7560688d82,en3rypt,2024-01-19 05:07:59+00:00,vercel deployment config
24bbf1b3511b2bf1e3d5568bc95cdadbf3255a25,jassuwu,2022-10-26 12:10:26+00:00,fix: highest wpm index capping some profiles
16eb50bdf25e3e918c45d833ec75931ab9384ca8,jassuwu,2022-10-19 01:23:13+00:00,Update README.md
33faeadf913b683e123ca7486eb8f210b76b53bd,jassuwu,2022-10-19 01:21:51+00:00,"Merge pull request #18 from en3rypt/shriram

updated README.md"
9204fb4ae21ed4398e3fe73a6e39bf3508f2804f,jassuwu,2022-10-19 01:20:35+00:00,updated README.md
6aa6d1233f679d4a279c205717a4a72baad9226d,jassuwu,2022-10-19 00:57:01+00:00,"Merge pull request #17 from en3rypt/shriram

Master <= Shriram : leaderboard + repeat games"
0bcb4f242ad43005dc7808ba8f0642f44b382c24,jassuwu,2022-10-19 00:55:55+00:00,update only extra gamescore
ee0ff7e1b13f6e07ab822e7bd9d6166e55aed4aa,jassuwu,2022-10-19 00:51:28+00:00,updateGame on better score
9965ec90fcc53c11152e23ffcd8ec5f3a1a35235,jassuwu,2022-10-19 00:26:28+00:00,fix leaderboard frontend + add to navbar
37df518dbd829f2fb4095a6e9d5d6bc48552e0b8,jassuwu,2022-10-13 09:49:47+00:00,shriram changes
b77f4b1955c543f51d8fa5d17d54d5056fa0ffd9,shriram-17,2022-10-13 07:50:25+00:00,Delete
962e03979496141daebfb3075b045b99388d4969,shriram-17,2022-10-13 07:44:21+00:00,did some changes
9f3b58ab07ede842ffd5b5186f728772e3797107,jassuwu,2022-10-13 02:21:34+00:00,update signup email type
ed0dabde5e59cd5936a5cd1e4ba74c53e3901630,jassuwu,2022-10-13 02:17:10+00:00,rank for new accounts fix
fc1cef110bbd3b2c88af6c3bc68c89e4191c8f4c,jassuwu,2022-10-13 02:13:56+00:00,profile page
25ea834760ee858ade9a8bc1d23d93ca192b91b5,jassuwu,2022-10-12 18:13:59+00:00,add gamesdb and embed the profile page with values
e63e5cb57ab0a7d3d14d5269d676de83177fd589,jassuwu,2022-10-12 18:03:23+00:00,post game data to typiodb
c22d44f84b7f5b417b68aaba78b61c750158dee2,en3rypt,2022-10-12 17:46:50+00:00,logout functionality implemented
b5a47b5667def9aa2fd67dede22773586ba8718d,jassuwu,2022-10-12 17:41:21+00:00,pre logout route
9d6e11a111bb9411000caeff77e19581f59febf1,jassuwu,2022-10-12 17:39:53+00:00,pre logout route
f9395ecc372a70a23164c415f294e3e056ed1542,en3rypt,2022-10-12 15:16:21+00:00,user authenthication completed
615a0c0e7814ab407c3b3a0f782af5500b1c0761,jassuwu,2022-10-11 19:42:11+00:00,complete login and signup db conn
6a936e882ef138108db8e9b537001be94e3a3ff9,en3rypt,2022-10-11 18:50:52+00:00,"login,signup, practice stats"
3eb1b1a3f3db3dcc51326891a8b56450eb174714,jassuwu,2022-10-11 18:44:33+00:00,added quote and quoteid to practice
c379c6de9449d8303b9db6aad3035175948da2f8,jassuwu,2022-10-11 18:30:47+00:00,change quote and write queries for other db
cc162293947a1e4094583459cf06127c33cc7eb9,jassuwu,2022-10-11 16:42:51+00:00,change about page
0de03d0b686c38314aa2e25c2f821e513dd54a10,jassuwu,2022-10-11 16:36:35+00:00,add profile ejs
6ec317e591868d85bd6430004b43da38574ffd26,jassuwu,2022-10-11 14:25:56+00:00,get quote from db
e6b331d73d08397b3e9a9fbe0145f4f37c9e49c3,jassuwu,2022-10-11 10:06:59+00:00,added quotes to quotesdb
b84d52ceb98fd49ca5abee7d21ed47602267ed97,jassuwu,2022-10-11 09:30:04+00:00,add env to index after refactoring
fb602cc702443ea5831fce553733a920dfe25692,jassuwu,2022-10-11 09:26:36+00:00,code refactoring before full db addition
b9ae2e56b8ab2801b98594b4a106585d1919a6e2,jassuwu,2022-10-11 08:22:36+00:00,fauna addition
8f3ff4f44fb61ebf80cfe22fd04404feb28f607f,jassuwu,2022-06-09 08:59:09+00:00,"Merge pull request #16 from en3rypt/jass

fix first position change bug"
1d3e14094da18585c054140ae4056b6759cd2d09,jassuwu,2022-06-09 08:58:25+00:00,fix first position change bug
295d18e6f753bf4dcc2f040e38b981470205c758,en3rypt,2022-06-09 07:24:25+00:00,"Merge pull request #15 from en3rypt/3ncrypt

3ncrypt"
5d82a8d159b85af17ab0cca4cf358a50f64ddf39,en3rypt,2022-06-09 07:22:30+00:00,results update
5c7e6fe5cf45afd7eb5b2b3c80139a2e0be3e113,en3rypt,2022-06-09 06:56:48+00:00,stats update
1f15425927d8127dc2282ea33f81603765c82464,jassuwu,2022-06-09 05:41:08+00:00,update about Us with content
80045fa8bd33096ea64f7f39ba8ad22cbd1f4924,en3rypt,2022-06-09 02:06:21+00:00,404 page added
bb18f50fba94149afd07b0dd93b5ae440333c0db,jassuwu,2022-06-09 01:50:03+00:00,"master <=  jass 

rework racetrack ui"
b99743d29e95c934c8113580a4f265b946fda1ad,jassuwu,2022-06-09 01:48:40+00:00,Merge branch 'master' into jass
e015e1d724a310ff60db5e1cd9b3131256edf401,jassuwu,2022-06-09 01:44:29+00:00,rework racetrack ui
751739289c247ea69f4530460a28e7301579efe7,en3rypt,2022-06-09 01:44:20+00:00,timmings update
23e4502c3b44d0170795b27eec77a4236e442166,en3rypt,2022-06-09 01:43:19+00:00,new game round about method ;-;
1f4d84cbe142499857e420dc5220216908c2e348,en3rypt,2022-06-08 19:00:21+00:00,"Merge pull request #13 from en3rypt/jass

Jass"
1021c321f1684ddb9111521519435e2276f60464,en3rypt,2022-06-08 19:00:02+00:00,padding update
474d9fcce14ac07cebf1dd24aa77ed8bbd942108,jassuwu,2022-06-08 18:43:22+00:00,"add login, signup pages to express"
35dcf06f2422fabd05edbe7e5bb8d56675021b27,en3rypt,2022-06-08 18:01:27+00:00,"wpm update,all complete match update"
